member_id|first_name|last_name|gender|birth_dt|state
W000000635|Elijah|Johnson|M|20180110|AZ
W000000636|Jacob|Brown|M|19930617|
W000000637|Chloe|Sanchez|F||PA
W000000638|Samuel|Jones|M|19861226|FL
W000000639|Grace|Hernandez|F|20030315|VA
W000000640|Jacob|Davis|M|20140325|MI
W000000641|James|Wilson|M||PA
W000000642|Jacob|Wilson|M|20090525|NC
W000000643|Samuel|Harris|M|20100128|MI
W000000644|Jacob|Harris|M|20030117|FL
W000000645|Harper|Martin|F||OH
W000000646|Abigail|Thompson|F|20010718|MA
W000000647|Victoria|Young|F|19930311|MA
W000000648|Sebastian|Wilson|M|19910123|MA
W000000649|Matthew|Davis|M||OH
W000000650|Amelia|Davis|F|19840504|AZ
W000000651|Henry|Gonzalez|M|20190228|NJ
W000000652|Elijah|Davis|M|20051017|MI
W000000654|Evelyn|Miller|F||OH
W000000655|Mason|Hernandez|M|20040913|CA
W000000656|Jackson|Anderson|M|20160713|NJ
W000000657|Noah|Harris|M|20060813|NY
W000000658|Sofia|Young|F||PA
W000000659|Oliver|Walker|M|19900321|MI
W000000660|Riley|Brown|F|20201201|PA
W000000661|Avery|Brown|F|19680208|
W000000662|Charlotte|Jones|F||OH
W000000663|Jackson|Lee|M|20161112|FL
W000000664|Daniel|Brown|M|20120818|GA
W000000665|Avery|Lewis|F|20020805|VA
W000000666|Elijah|Davis|M||MI
W000000667|David|Rodriguez|M|20061121|GA
W000000668|Olivia|Ramirez|F|20181003|NJ
W000000669|Michael|Clark|M|19730125|CA
W000000670|Elijah|Moore|M||NY
W000000671|Benjamin|Gonzalez|M|20140910|GA
W000000672|Abigail|Robinson|F|19731028|AZ
W000000673|Avery|Rodriguez|F|20170527|MA
W000000674|Jackson|Martin|M||WA
W000000675|Noah|Lee|M|20131204|MI
W000000676|Matthew|Williams|M|20070326|CO
W000000677|Abigail|Brown|F|20000627|MI
W000000678|Henry|Wilson|M||NJ
W000000679|Mia|Miller|F|19671019|WA
W000000680|Isabella|Martin|F|20191024|AZ
W000000681|Elizabeth|Williams|F|19811119|CA
W000000682|Logan|Davis|M||MI
W000000683|Ava|Davis|F|20000414|CO
W000000684|Olivia|Robinson|F|20020821|NC
W000000686|Ella|Robinson|F|19740207|PA
W000000687|Charlotte|Rodriguez|F||NY
W000000688|Zoey|Miller|F|20191008|TX
W000000689|Daniel|Taylor|M|19750828|MA
W000000690|Jacob|Brown|M|20020110|AZ
W000000691|Liam|Martin|M||WA
W000000692|Mason|Robinson|M|20180407|GA
W000000693|Ella|Lewis|F|20011109|CO
W000000694|Riley|Miller|F|19660410|OH
W000000695|Jackson|Robinson|M||FL
W000000697|David|Taylor|M|20010911|NC
W000000698|Chloe|Taylor|F|19650302|IL
W000000699|Oliver|Rodriguez|M|20091013|GA
W000000700|Noah|Martinez|M||MI
